Equipe,BourseMaire,BoursesIndiv,BourseEquipe,Total,TotalSansMaire
Canada,500,3020,200,3720,3220
Équipe Subway,1950,885,0,2835,885
USA,250,2300,160,2710,2460
France,250,1060,0,1310,1060
Japon,100,1180,0,1280,1180
Équipe du Québec,0,690,120,810,810
North Star Development Cycling,0,600,0,600,600
Ignite JR Cycling,200,275,0,475,275
KW Cycling Academy,0,435,0,435,435
Vantaggio Fitness and Nutrition,250,105,0,355,105
Club ZVP Opto-Réseau,0,350,0,350,350
Team Manitoba,0,345,0,345,345
