dist,elev
-5,290
-4.9895704585335645,290
-4.979140917067129,290
-4.9687113756007895,290
-4.958281834134354,290
-4.958281834134354,290
-4.947852292668014,290
-4.93742275120158,290
-4.926993209735144,290
-4.916563668268709,290
-4.906134126802369,290
-4.895704585335934,290
-4.885275043869594,290
-4.874845502403159,290
-4.874845502403159,290
-4.864415960936723,290
-4.853986419470288,290
-4.843556878003948,290
-4.833127336537514,290
-4.833127336537514,290
-4.833127336537514,290
-4.822697795071174,290
-4.8122682536047385,290
-4.801838712138399,290
-4.7914091706719635,290
-4.780979629205624,290
-4.770550087739188,290
-4.760120546272849,290
-4.749691004806509,290
-4.749691004806509,290
-4.739261463340074,290
-4.728831921873638,290
-4.7184023804073,290
-4.707972838940864,290
-4.697543297474525,290
-4.687113756008089,289
-4.6766842145417495,289
-4.6766842145417495,289
-4.666254673075314,288
-4.6558251316089745,288
-4.645395590142539,287
-4.634966048676199,286
-4.624536507209764,286
-4.614106965743329,285
-4.60367742427699,285
-4.60367742427699,285
-4.593247882810554,285
-4.582818341344215,285
-4.572388799877779,284
-4.56195925841144,284
-4.551529716945004,284
-4.541100175478665,284
-4.530670634012229,285
-4.520241092545794,284
-4.520241092545794,284
-4.509811551079359,284
-4.4993820096130195,284
-4.488952468146584,284
-4.478522926680244,284
-4.468093385213809,283
-4.457663843747469,283
-4.447234302281034,283
-4.436804760814694,283
-4.436804760814694,283
-4.426375219348259,283
-4.415945677881919,283
-4.405516136415484,282
-4.395086594949049,282
-4.38465705348271,282
-4.374227512016274,282
-4.363797970549935,282
-4.363797970549935,282
-4.353368429083499,283
-4.3429388876171595,283
-4.332509346150724,283
-4.3220798046843845,283
-4.311650263218045,284
-4.30122072175161,284
-4.29079118028527,283
-4.280361638818835,283
-4.2699320973524,283
-4.2699320973524,283
-4.25950255588606,282
-4.249073014419625,282
-4.238643472953285,282
-4.22821393148685,281
-4.21778439002051,281
-4.207354848554075,281
-4.196925307087735,281
-4.186495765621396,280
-4.176066224154961,280
-4.176066224154961,280
-4.165636682688525,280
-4.165636682688525,280
-4.155207141222186,280
-4.14477759975575,280
-4.134348058289411,280
-4.123918516822975,280
-4.11348897535654,280
-4.11348897535654,280
-4.1030594338902,279
-4.092629892423765,279
-4.092629892423765,279
-4.082200350957329,279
-4.071770809490991,280
-4.061341268024651,280
-4.061341268024651,280
-4.0509117265582155,280
-4.04048218509178,280
-4.0300526436254405,280
-4.019623102159005,280
-4.009193560692665,280
-3.998764019226326,280
-3.998764019226326,280
-3.988334477759891,280
-3.9779049362934553,280
-3.967475394827116,280
-3.9570458533606807,280
-3.946616311894341,280
-3.946616311894341,280
-3.9361867704280016,280
-3.925757228961566,280
-3.9153276874951306,280
-3.904898146028791,280
-3.894468604562355,280
-3.894468604562355,280
-3.884039063095921,280
-3.873609521629581,280
-3.873609521629581,280
-3.8631799801631455,280
-3.852750438696806,280
-3.842320897230467,280
-3.8318913557640313,280
-3.821461814297692,280
-3.821461814297692,280
-3.811032272831256,280
-3.8006027313649167,280
-3.790173189898481,280
-3.779743648432046,280
-3.779743648432046,280
-3.7693141069657066,280
-3.758884565499271,280
-3.748455024032931,280
-3.748455024032931,280
-3.738025482566497,280
-3.727595941100157,280
-3.7171663996337214,280
-3.706736858167382,280
-3.6963073167010423,280
-3.685877775234607,280
-3.675448233768268,280
-3.675448233768268,280
-3.665018692301832,280
-3.6545891508353967,280
-3.644159609369057,280
-3.644159609369057,280
-3.633730067902622,279
