dist,elev
126.30792706187523,321
126.31835660334158,321
126.3287861448079,321
126.33921568627434,321
126.34964522774078,321
126.3600747692071,321
126.37050431067344,321
126.37050431067344,321
126.38093385213988,321
126.39136339360633,321
126.40179293507276,321
126.41222247653911,321
126.42265201800544,321
126.43308155947189,321
126.44351110093832,321
126.44351110093832,321
126.45394064240466,321
126.4643701838711,321
126.47479972533752,321
126.48522926680386,321
126.4956588082702,322
126.50608834973664,321
126.51651789120304,322
126.51651789120304,322
126.52694743266944,322
126.53737697413588,322
126.54780651560216,322
126.55823605706854,322
126.56866559853498,323
126.5790951400014,323
126.58952468146774,323
126.58952468146774,323
126.59995422293407,323
126.61038376440052,323
126.62081330586696,323
126.6312428473334,323
126.64167238879972,323
126.65210193026608,323
126.6625314717325,323
126.6625314717325,323
126.67296101319884,323
126.68339055466528,323
126.69382009613172,322
126.70424963759814,323
126.71467917906448,323
126.72510872053093,322
126.73553826199723,323
126.7459678034636,323
126.7459678034636,323
126.75639734493004,323
126.76682688639649,324
126.77725642786292,324
126.78768596932926,324
126.79811551079558,324
126.80854505226202,325
126.81897459372848,325
126.82940413519478,325
126.8398336766612,325
126.85026321812757,326
126.85026321812757,326
126.86069275959392,326
126.87112230106035,326
126.88155184252676,327
126.89198138399313,327
126.90241092545946,327
126.91284046692589,327
126.92327000839224,328
126.93369954985867,328
126.9441290913251,328
126.9441290913251,328
126.95455863279152,328
126.96498817425795,329
126.97541771572432,329
126.98584725719064,329
126.99627679865708,329
127.00670634012344,329
127.01713588158988,330
127.0275654230563,330
127.0275654230563,330
127.03799496452262,330
127.04842450598898,330
127.05885404745544,330
127.06928358892182,330
127.0797131303882,330
127.09014267185464,330
127.10057221332096,330
127.11100175478732,330
127.12143129625376,330
127.13186083772018,330
127.13186083772018,330
127.14229037918662,330
127.15271992065294,330
127.16314946211928,330
127.17357900358571,330
127.18400854505208,330
127.19443808651847,330
127.20486762798492,330
127.21529716945128,330
127.2257267109176,331
127.23615625238403,331
127.23615625238403,331
127.2465857938504,331
127.25701533531682,332
127.26744487678326,332
127.2778744182497,333
127.28830395971605,333
127.29873350118235,333
127.3091630426488,334
127.31959258411516,334
127.31959258411516,334
127.3300221255816,334
127.34045166704804,334
127.35088120851437,334
127.3613107499808,335
127.37174029144724,336
127.38216983291358,336
127.39259937438,336
127.40302891584632,337
127.41345845731269,338
127.41345845731269,338
127.42388799877912,338
127.43431754024556,338
127.444747081712,339
127.45517662317836,339
127.46560616464478,338
127.4760357061111,339
127.48646524757746,339
127.49689478904386,340
127.5073243305103,340
127.51775387197664,340
127.51775387197664,340
127.52818341344307,340
127.53861295490944,340
127.54904249637576,340
127.5594720378422,340
127.56990157930856,340
127.580331120775,340
127.5907606622414,340
127.60119020370784,340
127.6116197451742,340
127.6116197451742,340
127.6220492866405,340
127.63247882810695,340
127.6429083695734,340
127.65333791103971,340
127.66376745250616,340
127.67419699397252,340
127.68462653543897,340
127.68462653543897,340
127.6950560769054,340
127.70548561837174,340
127.71591515983806,340
127.7263447013045,340
127.73677424277092,341
127.74720378423726,341
127.7576333257037,341
127.76806286717016,341
127.76806286717016,341
127.77849240863648,342
127.78892195010285,341
127.79935149156928,341
127.8097810330356,341
127.82021057450204,340
127.83064011596846,340
127.84106965743482,340
127.84106965743482,340
127.85149919890124,340
127.8619287403676,340
127.87235828183393,340
127.88278782330036,340
127.89321736476668,340
127.89321736476668,340
127.90364690623312,340
127.91407644769956,340
127.924505989166,340
127.93493553063234,340
127.94536507209878,340
127.94536507209878,340
127.9557946135651,340
127.96622415503144,340
127.97665369649788,340
127.9870832379642,340
127.99751277943064,339
128.00794232089703,339
128.01837186236344,339
128.02880140382987,338
128.02880140382987,338
128.0392309452963,338
128.04966048676266,338
128.0600900282291,337
128.07051956969542,337
128.08094911116186,337
128.0913786526282,337
128.0913786526282,337
128.10180819409464,336
128.11223773556105,336
128.1226672770274,336
128.13309681849387,335
128.14352635996028,335
128.15395590142663,335
128.16438544289306,335
128.1748149843594,334
128.1748149843594,334
128.18524452582582,334
128.19567406729217,333
128.2061036087586,333
128.21653315022496,333
128.2269626916914,333
128.2269626916914,333
128.2373922331578,333
128.24782177462416,333
128.2582513160906,333
128.26868085755692,332
128.27911039902335,332
128.28953994048982,332
128.29996948195614,332
128.29996948195614,332
128.31039902342258,331
128.320828564889,332
128.33125810635534,330
128.3416876478218,329
128.35211718928815,328
128.36254673075456,327
128.3729762722209,326
128.38340581368735,326
128.38340581368735,326
128.39383535515375,325
128.4042648966201,324
128.41469443808646,327
128.4251239795529,327
128.43555352101922,326
128.44598306248565,326
128.456412603952,326
128.46684214541844,325
128.4772716868848,324
128.4772716868848,324
128.4877012283512,324
128.49813076981766,326
128.5085603112841,326
128.51898985275042,326
128.52941939421686,326
128.5398489356832,327
128.55027847714962,326
128.56070801861597,327
128.56070801861597,327
128.5711375600824,327
128.58156710154876,327
128.59199664301508,327
128.60242618448152,327
128.61285572594787,327
128.6232852674143,327
128.6232852674143,327
128.63371480888063,327
128.64414435034706,327
128.64414435034706,327
128.6545738918135,327
128.66500343327982,327
128.6754329747463,327
128.68586251621272,328
128.69629205767907,328
128.70672159914548,328
128.71715114061183,328
128.71715114061183,328
128.72758068207827,327
128.73801022354462,327
128.74843976501106,326
128.7588693064775,326
128.76929884794382,326
128.77972838941017,326
128.79015793087655,326
128.79015793087655,326
128.80058747234293,326
128.81101701380936,325
128.8214465552757,325
128.83187609674215,325
128.84230563820847,324
128.8527351796749,325
128.86316472114137,324
128.86316472114137,324
128.8735942626077,324
128.8840238040741,323
128.89445334554057,323
128.90488288700692,323
128.91531242847333,323
128.92574196993968,322
128.93617151140612,322
128.93617151140612,322
128.94660105287244,322
128.95703059433887,322
128.96746013580525,321
128.96746013580525,321
128.97788967727166,320
128.988319218738,320
128.99874876020445,320
129.00917830167086,320
129.00917830167086,320
129.0196078431372,320
129.03003738460367,320
129.04046692607008,319
129.05089646753643,319
129.06132600900287,319
129.0717555504692,318
129.0717555504692,318
129.08218509193563,318
129.09261463340198,318
129.1030441748683,318
129.11347371633474,318
129.12390325780115,317
129.12390325780115,317
129.13433279926753,317
129.14476234073396,317
129.1551918822004,317
129.16562142366672,317
129.17605096513316,317
129.1864805065995,317
129.19691004806583,318
129.20733958953227,318
129.20733958953227,318
129.21776913099862,318
129.22819867246506,317
129.2386282139315,318
129.24905775539784,318
129.25948729686417,318
129.2699168383306,318
129.2699168383306,318
129.28034637979707,318
129.29077592126347,318
129.30120546272985,319
129.31163500419626,318
129.32206454566267,319
129.33249408712902,319
129.34292362859537,319
129.3533531700618,319
129.36378271152813,319
129.36378271152813,319
129.37421225299448,319
129.38464179446092,319
129.39507133592735,320
129.40550087739368,320
129.4159304188601,320
129.42635996032658,320
129.43678950179287,320
129.44721904325925,320
129.4576485847257,320
129.4680781261921,320
129.4680781261921,320
129.47850766765845,320
129.48893720912488,320
129.49936675059132,320
129.50979629205767,320
129.520225833524,320
129.520225833524,320
129.53065537499043,320
129.54108491645687,320
129.55151445792322,320
129.56194399938954,320
129.56194399938954,320
129.57237354085598,320
129.58280308232244,320
129.59323262378885,320
129.6036621652552,320
129.61409170672155,320
129.62452124818796,320
129.6349507896544,320
129.64538033112075,320
129.64538033112075,320
129.65580987258718,320
129.66623941405354,320
129.67666895551986,320
129.6870984969863,320
129.69752803845273,320
129.70795757991908,320
129.7183871213855,319
129.72881666285193,319
129.7392462043184,319
129.7392462043184,319
129.7496757457847,319
129.76010528725106,319
129.7705348287175,318
129.78096437018382,318
129.79139391165026,318
129.80182345311673,318
129.81225299458305,317
129.82268253604948,317
129.83311207751584,317
129.83311207751584,317
129.84354161898216,316
129.8539711604486,316
129.86440070191492,316
129.87483024338135,316
129.8852597848478,316
129.89568932631414,316
129.90611886778058,316
129.90611886778058,316
129.916548409247,316
129.92697795071334,316
129.93740749217977,317
129.94783703364612,317
129.9582665751126,317
129.96869611657888,317
129.97912565804526,317
129.98955519951167,317
129.98955519951167,317
129.999984740978,318
130.01041428244446,318
130.0208438239109,318
130.03127336537722,318
130.04170290684365,318
130.0521324483101,318
130.06256198977644,318
130.07299153124288,318
130.07299153124288,318
130.0834210727092,317
130.09385061417564,317
130.104280155642,316
130.11470969710842,316
130.12513923857486,316
130.1355687800412,315
130.14599832150753,315
130.15642786297397,314
130.15642786297397,314
130.16685740444032,314
130.17728694590673,314
130.18771648737308,312
130.19814602883952,312
130.20857557030587,312
130.2190051117723,311
130.22943465323874,311
130.23986419470506,311
130.2502937361715,310
130.2502937361715,310
130.26072327763785,310
130.2711528191043,310
130.28158236057072,309
130.29201190203705,307
130.30244144350348,306
130.31287098496983,306
130.3233005264362,305
130.3233005264362,305
130.3337300679026,303
130.34415960936894,302
130.35458915083538,301
130.3650186923017,300
130.37544823376817,300
130.3858777752346,300
130.3858777752346,300
130.39630731670093,300
130.40673685816736,300
130.4171663996338,300
130.42759594110015,300
130.4380254825666,300
130.4484550240329,300
130.45888456549935,300
130.45888456549935,300
130.4693141069657,300
130.4797436484321,299
130.49017318989854,299
130.5006027313649,299
130.51103227283122,299
130.52146181429757,299
130.52146181429757,299
130.53189135576403,299
130.53189135576403,299
130.54232089723044,299
130.54232089723044,299
130.5527504386968,299
130.56317998016323,299
130.57360952162955,299
130.584039063096,299
130.584039063096,299
130.59446860456234,300
130.60489814602877,300
130.61532768749512,300
130.62575722896148,300
130.63618677042788,300
130.63618677042788,300
130.64661631189432,300
130.65704585336076,300
130.66747539482708,300
130.66747539482708,300
130.67790493629354,300
130.68833447775987,300
130.6987640192263,300
130.70919356069265,301
130.7196231021591,301
130.7300526436254,302
130.7300526436254,302
130.74048218509188,303
130.7509117265582,304
130.7613412680246,304
130.771770809491,305
130.78220035095742,306
130.79262989242375,307
130.79262989242375,307
130.80305943389018,308
130.81348897535662,308
130.82391851682297,309
130.8343480582894,309
130.84477759975584,310
130.85520714122217,310
130.85520714122217,310
130.8656366826886,310
130.87606622415495,310
130.88649576562136,310
130.89692530708783,310
130.89692530708783,310
130.90735484855418,309
130.91778439002061,309
130.92821393148694,308
130.93864347295337,308
130.9490730144198,307
130.95950255588613,306
130.96993209735257,306
130.96993209735257,306
130.98036163881892,306
130.99079118028527,305
131.00122072175168,305
131.00122072175168,305
131.01165026321803,304
131.02207980468447,304
131.0325093461508,304
131.04293888761725,303
131.05336842908366,303
131.05336842908366,303
131.06379797055013,303
131.07422751201645,303
131.08465705348289,303
131.0950865949492,303
131.10551613641567,303
131.115945677882,303
131.12637521934843,302
131.12637521934843,302
131.13680476081478,302
131.14723430228122,302
131.15766384374754,302
131.1680933852139,302
131.17852292668033,302
131.18895246814674,301
131.1993820096131,301
131.20981155107953,300
131.22024109254588,300
131.22024109254588,300
131.2306706340123,300
131.24110017547866,300
131.251529716945,300
131.26195925841142,300
131.26195925841142,300
131.27238879987786,300
131.28281834134418,301
131.29324788281053,301
131.303677424277,301
131.3141069657434,301
131.32453650720976,301
131.32453650720976,301
131.3349660486762,301
131.34539559014263,301
131.35582513160895,301
131.3662546730754,301
131.37668421454174,301
131.38711375600818,301
131.38711375600818,301
131.39754329747453,301
131.40797283894094,301
131.40797283894094,301
131.41840238040737,301
131.42883192187372,301
131.43926146334013,301
131.44969100480648,302
131.46012054627295,302
131.47055008773935,302
131.4809796292057,302
131.4809796292057,302
131.49140917067214,303
131.5018387121385,303
131.51226825360493,304
131.52269779507125,304
131.5331273365377,305
131.54355687800404,305
131.55398641947045,305
