Position,Bib,TempsEtape,Etape
45,71,1:12:27,4
46,106,1:12:27,4
47,102,1:12:27,4
48,101,1:12:27,4
49,13,1:12:27,4
50,81,1:12:27,4
51,95,1:12:27,4
52,64,1:12:27,4
53,84,1:12:27,4
54,56,1:12:27,4
55,24,1:12:27,4
56,85,1:12:27,4
57,86,1:12:27,4
58,83,1:12:44,4
59,61,1:12:44,4
60,52,1:12:44,4
61,44,1:12:44,4
62,72,1:12:44,4
63,74,1:12:44,4
64,73,1:12:44,4
65,75,1:12:44,4
66,131,1:12:49,4
67,122,1:12:51,4
68,121,1:12:27,4
69,43,1:14:27,4
1,34,2:34:49,5
2,26,2:34:53,5
3,42,2:34:53,5
4,31,2:34:53,5
5,22,2:34:53,5
6,51,2:34:53,5
7,65,2:34:53,5
8,124,2:34:53,5
9,103,2:34:53,5
10,62,2:34:53,5
11,12,2:34:53,5
12,53,2:34:53,5
13,92,2:34:53,5
14,114,2:34:53,5
15,32,2:34:53,5
16,115,2:34:53,5
17,36,2:34:53,5
18,112,2:34:53,5
19,16,2:34:53,5
20,15,2:34:53,5
21,93,2:34:53,5
22,43,2:34:53,5
23,46,2:34:53,5
24,63,2:34:53,5
25,21,2:34:53,5
26,52,2:34:53,5
27,11,2:34:53,5
28,45,2:34:53,5
29,101,2:34:53,5
30,116,2:34:53,5
31,44,2:34:53,5
32,134,2:34:53,5
33,91,2:34:53,5
34,82,2:34:53,5
35,133,2:34:53,5
36,83,2:34:53,5
37,113,2:34:53,5
38,23,2:34:53,5
39,102,2:34:53,5
40,72,2:34:53,5
41,86,2:34:53,5
42,33,2:34:53,5
43,105,2:34:53,5
44,125,2:34:53,5
45,81,2:34:53,5
46,111,2:34:53,5
47,84,2:34:53,5
48,136,2:34:53,5
49,132,2:34:53,5
50,122,2:34:53,5
51,123,2:34:53,5
52,61,2:34:53,5
53,85,2:34:53,5
54,24,2:34:53,5
55,135,2:34:53,5
56,71,2:35:10,5
57,64,2:35:10,5
58,14,2:35:13,5
59,73,2:35:13,5
60,13,2:35:13,5
61,41,2:35:13,5
62,56,2:35:16,5
63,95,2:35:23,5
64,35,2:35:28,5
65,75,2:35:35,5
66,74,2:35:39,5
67,106,2:36:54,5
68,131,2:38:08,5
69,121,2:39:26,5
1,31,2:38:30,6
2,45,2:38:30,6
3,22,2:38:30,6
4,12,2:38:30,6
5,23,2:38:33,6
6,32,2:38:37,6
7,112,2:38:37,6
8,91,2:38:42,6
9,42,2:39:11,6
10,43,2:39:11,6
11,62,2:39:11,6
12,63,2:39:11,6
13,33,2:39:11,6
14,103,2:39:11,6
15,123,2:39:11,6
16,51,2:39:11,6
17,16,2:39:11,6
18,36,2:39:11,6
19,11,2:39:11,6
20,53,2:39:11,6
21,92,2:39:11,6
22,82,2:39:11,6
23,111,2:39:11,6
24,52,2:39:11,6
25,46,2:39:11,6
26,124,2:39:11,6
27,133,2:39:11,6
28,83,2:39:11,6
29,135,2:39:11,6
30,113,2:39:11,6
31,115,2:39:11,6
32,34,2:39:11,6
33,15,2:39:11,6
34,26,2:39:11,6
35,105,2:39:11,6
36,134,2:39:11,6
37,61,2:39:11,6
38,75,2:39:11,6
39,136,2:39:11,6
40,116,2:39:11,6
41,14,2:39:11,6
42,73,2:39:11,6
43,81,2:39:11,6
44,101,2:39:11,6
45,44,2:39:11,6
46,72,2:39:11,6
47,56,2:39:11,6
48,13,2:39:11,6
49,102,2:39:11,6
50,71,2:39:11,6
51,21,2:39:11,6
52,64,2:39:11,6
53,74,2:39:11,6
54,84,2:39:11,6
55,86,2:39:11,6
56,41,2:39:19,6
57,65,2:39:19,6
58,85,2:39:22,6
59,93,2:39:22,6
60,24,2:39:22,6
61,106,2:39:24,6
62,114,2:39:28,6
63,132,2:39:33,6
64,95,2:40:02,6
65,122,2:41:34,6
66,35,2:53:08,6
67,131,2:53:52,6
1,31,2:36:33,7
2,42,2:36:33,7
3,12,2:36:33,7
4,124,2:36:33,7
5,26,2:36:33,7
6,65,2:36:33,7
7,53,2:36:33,7
8,135,2:36:33,7
9,123,2:36:33,7
10,103,2:36:33,7
11,21,2:36:33,7
12,51,2:36:33,7
13,15,2:36:33,7
14,115,2:36:33,7
15,11,2:36:33,7
16,32,2:36:33,7
17,43,2:36:33,7
