Etape,SprintNumero,Bourse,Bib
1,1,250,12
1,2,250,65
2,1,250,22
2,2,250,34
4,1,250,22
4,2,250,65
5,1,250,63
5,2,250,63
6,1,250,135
6,2,250,63
7,1,250,65
7,2,250,65
7,3,100,93
7,4,100,91
7,5,100,41
7,6,100,65
7,7,100,63
